Temp_Treatment,pH_Treatment,Mean_Temp_C,Mean_pH,Mean_Salinity,Mean_DO_Percent,Mean_Conductivity,Mean_TA,Mean_pCO2,Mean_HCO3,Mean_CO3,Mean_DIC
10,Sump,10.94 ± 0.26,7.92 ± 0.04,32.32 ± 0.37,114.82 ± 1.09,50.46 ± 0.18,2328.01 ± 25.92,4978230.96 ± 275963.47,20.26 ± 0.29,1.07 ± 0.06,21.61 ± 0.29
12,Ambient,12.91 ± 0.2,7.95 ± 0.02,33.24 ± 0.11,113.68 ± 1.59,50.75 ± 0.15,2358.28 ± 19.58,4920188.24 ± 223654.68,19.13 ± 0.21,1.12 ± 0.04,20.45 ± 0.2
12,Low,13.17 ± 0.41,7.71 ± 0.03,32.85 ± 0.15,112.37 ± 1.37,50.24 ± 0.2,2359.61 ± 18.06,4628623.06 ± 341408.31,10.04 ± 0.07,0.35 ± 0.03,10.58 ± 0.08
14,Ambient,13.9 ± 0.1,7.97 ± 0.02,32.93 ± 0.07,106.18 ± 1.08,50.26 ± 0.1,2357.76 ± 17.16,2711089.29 ± 142579.38,10.69 ± 0.1,0.68 ± 0.03,11.49 ± 0.09
14,Low,13.7 ± 0.22,7.67 ± 0.01,32.88 ± 0.09,119.31 ± 2.79,50.23 ± 0.12,2376.31 ± 22.23,649410.85 ± 24204.31,1.28 ± 0.01,0.04 ± 0,1.34 ± 0.01
16,Ambient,16.17 ± 0.13,7.93 ± 0.02,32.91 ± 0.07,102.32 ± 1.01,50.56 ± 0.41,2355.87 ± 19.49,3363571.87 ± 164547.58,11.88 ± 0.11,0.75 ± 0.03,12.76 ± 0.11
16,Low,15.92 ± 0.32,7.69 ± 0.02,32.9 ± 0.07,104.81 ± 6.25,50.14 ± 0.09,2350.55 ± 21.16,1242533.16 ± 55051.05,2.5 ± 0.03,0.09 ± 0,2.64 ± 0.03
18,Ambient,18.18 ± 0.24,7.91 ± 0.02,32.94 ± 0.07,99.78 ± 1.05,50.19 ± 0.09,2360.54 ± 18.2,3843319.75 ± 202604.37,13.02 ± 0.12,0.86 ± 0.04,14.02 ± 0.11
18,Low,18.38 ± 0.26,7.68 ± 0.02,32.92 ± 0.05,98.79 ± 1.68,50.19 ± 0.09,2409.62 ± 18.07,1947471.11 ± 91567.08,3.83 ± 0.03,0.15 ± 0.01,4.04 ± 0.03
20,Ambient,20.76 ± 0.31,7.87 ± 0.04,32.82 ± 0.07,103.31 ± 1.07,50.01 ± 0.1,2348.58 ± 21.84,4412288.41 ± 316379.33,14.07 ± 0.21,0.96 ± 0.06,15.21 ± 0.2
20,Low,19.62 ± 0.57,7.64 ± 0.02,32.95 ± 0.08,96.02 ± 5.38,50.19 ± 0.11,2358.68 ± 17.84,2840268.86 ± 137486.09,5.01 ± 0.04,0.18 ± 0.01,5.29 ± 0.04
22,Ambient,22.36 ± 0.39,7.84 ± 0.02,32.96 ± 0.07,98.98 ± 0.77,50.22 ± 0.09,2369.09 ± 19.13,5298578.58 ± 240316.39,15.42 ± 0.13,1.02 ± 0.04,16.62 ± 0.13
22,Low,21.64 ± 0.49,7.69 ± 0.01,32.92 ± 0.08,96.65 ± 1.26,50.15 ± 0.1,2358.77 ± 16.72,3099996.23 ± 119715.11,6.17 ± 0.04,0.28 ± 0.01,6.54 ± 0.05
24,Ambient,24.75 ± 0.59,7.82 ± 0.03,32.76 ± 0.13,102.56 ± 1.28,50.18 ± 0.19,2356.82 ± 21.89,6031162.38 ± 439328.11,16.43 ± 0.23,1.14 ± 0.07,17.76 ± 0.21
24,Low,22.88 ± 0.66,7.69 ± 0.02,32.68 ± 0.09,100.09 ± 1.32,49.97 ± 0.1,2367.69 ± 17.4,3745464.62 ± 190122.17,7.39 ± 0.05,0.35 ± 0.02,7.85 ± 0.06
26,Ambient,24.45 ± 1,7.89 ± 0.02,32.85 ± 0.18,98.99 ± 2.1,50.52 ± 0.11,2362.64 ± 19.05,5523863.5 ± 327978.24,17.35 ± 0.23,1.36 ± 0.06,18.88 ± 0.2
26,Low,25.52 ± 0.77,7.66 ± 0.02,32.99 ± 0.06,92.3 ± 1.59,50.7 ± 0.4,2350.6 ± 20.16,4640263.18 ± 268033.32,8.52 ± 0.09,0.42 ± 0.02,9.08 ± 0.09
